username,rating,review
Pengguna Google,5,👍🎉
Pengguna Google,5,Aplikasi music terkeren
Pengguna Google,5,Gacor
Pengguna Google,1,Sudah di batalkan berlangganannya malah langsung di potong nya
Pengguna Google,5,Bagusss bgttt aplikasinya
Pengguna Google,4,Bagus
Pengguna Google,4,Bagus lagunya tapi bnyak iklan
Pengguna Google,5,lope lope for spotify🫶🏻😗🙆🏻
Pengguna Google,5,bagus tapi udah gaada lirik terjemahannya lagi ya
Pengguna Google,2,Nggax bisa download harus premium baru bisa
Pengguna Google,5,Keren
Pengguna Google,1,Males bikin akun
Pengguna Google,5,Good
Pengguna Google,5,Bagus
Pengguna Google,5,Bgus Yh enak aj
Pengguna Google,5,Good App
Pengguna Google,5,baik
Pengguna Google,1,"Pinter banget ngasih iklan, kalo setiap malam2 pasti iklanya iklan horor-_"
Pengguna Google,5,Thanks spotify udah menemani hari2ku
Pengguna Google,1,ga bisa beli premium anehh eror mulu
Pengguna Google,5,"Suka bangett,tapi kadang iklan nya tuh ganggu banget tapi ya GK papa aku tetep suka"
Pengguna Google,4,mudah
Pengguna Google,4,Musik keren dan bagus
Pengguna Google,1,saya suka banget
Pengguna Google,5,Bagus aj
Pengguna Google,5,Seru
Pengguna Google,1,Iklan nya satu kali aja jangan dua kali (1 lagu 1 iklan) itu yang benar
Pengguna Google,1,ga laku
Pengguna Google,5,Bagus
Pengguna Google,5,sangat bagus
Pengguna Google,5,MNtap
Pengguna Google,5,mantep dh
Pengguna Google,5,Terima kasih
Pengguna Google,5,sangat bagus untuk di dengar
Pengguna Google,5,Enak banget ngedengerin lagu nya
Pengguna Google,1,iklan mulu co
Pengguna Google,1,Kak ini kenapa ya saya mau beli paket premium selalu tidak dapat menghubungkan terus???
Pengguna Google,5,Sangat bagus untuk lagu galau
Pengguna Google,1,Kenapa Spotify sekarang jdi harus bayar dengerin lagu?
Pengguna Google,5,Oke bgt
Pengguna Google,5,Keren parahhhh
Pengguna Google,5,mantepll
Pengguna Google,5,Bagus sekali apk ini
Pengguna Google,5,Bagus sih tapi apa apa haris premium
Pengguna Google,1,Halah gatel masuk aja harus login ke goggle suen pengen ngpek akun to we Cok i mending aku donlod gotube
Pengguna Google,1,"ga bagus. Tolong lah iklannya di kurangi ,dan semua lagu harusnya ada lirik nya ,itu satu musik sampe 5 iklan kaya whatt?maksa bgt ya harus premium ?ga bgt deh"
Pengguna Google,5,enak enak bgt lagunya
Pengguna Google,2,"Terlalu banyak pengeluaran minimal ganti2 lagunya gratis lah jgn dikit-dikit premium cuma ganti2 lagu di playlist masa harus bayar dibatasin sih, giliran di premium in malah gabisa katanya harus cek pengaturan tapi pas udh dibenerin malah tetep ga bisa hadeh jadi ga bebas dengerin musik doang"
Pengguna Google,5,Sangat menyenangkan
Pengguna Google,5,I love it
Pengguna Google,5,Bagus walau iklan ny dikit tpi ggp lah dari pada muncul mulu 🗿 Kalian yg belum instal ayo cepet di instal 🥰🌹
Pengguna Google,5,"bagusss bangetttt,rat 5"
Pengguna Google,5,bagus mantp boss ku
Pengguna Google,5,baguss
Pengguna Google,1,Ribet apa-apa harus premium
Pengguna Google,1,Aplikasinya jelek audionya jelek serba jelek
Pengguna Google,4,"Bagus, tapi mungkin iklan nya dihapus sedikit saja jangan setiap selesai musik"
Pengguna Google,1,Ini elek bgst
Pengguna Google,5,Bagus sekali apk nya bisa winstreak Berkali kali
Pengguna Google,5,Jernih
Pengguna Google,5,cocok buat yang lagi galau😓
Pengguna Google,2,"Buset dah mulai nguawor spotify ni, sekedar puter lagu di playlist aja nggak bisa berurutan kalau nggak premium, buat apa capek-capek buat playlist playlist!. premiumin aja semua. Dasar kepiting kikir"
Pengguna Google,5,Lagu nya candu banget apalagi lagu jawa
Pengguna Google,4,Bagus
Pengguna Google,5,Aplikasi bagus yang menghibur dan menyenangkan.
Pengguna Google,5,mantap pakcik
Pengguna Google,5,Mantap
Pengguna Google,5,Ini bisa mendapatkan lagu yang bagus selagi aku bisa mendengarkan nya dengan ini
Pengguna Google,5,Enak di dengrin dan apa yang kamu cari ad semua
Pengguna Google,5,mantap bisa membantu mengisi waktu luang....
Pengguna Google,1,"Guys, I don't mind the ads, but the random music playback that deviates from the genre being listened to is very messy. I hope there will be improvements for random music playback in the future so that it doesn't deviate from the genre being listened to."
Pengguna Google,1,Dh rusak gw pengen lagu kesukaan gw malah yg lain dh rusak jangan di download lagi kalo ga mau bikin kesel ga bisa dengerin lagu lagi rusak ga ada lirik nya cuih
Pengguna Google,5,Oke
Pengguna Google,5,nice
Pengguna Google,5,Bagus. Terus pertahankan.
Pengguna Google,5,Aplikasi bagus.
Pengguna Google,5,Aplikasinya bagus terus banyak juga lagunya tapi gk bisa offline
Pengguna Google,3,Candu dengerin musik di Spotify tpiii kenapa boros paketan🥹🥹🥹🥹😭😭😭😭😭
Pengguna Google,2,Tolong dong knp gk bisa join lewat Gmail? Malah masuk ke pengaturan internet terus
Pengguna Google,5,Bagus untuk mendengar lagu favorit kalian
Pengguna Google,5,Mantappp sukses selalu
Pengguna Google,5,Ok
Pengguna Google,1,"Makin aneh makin kesini , kebanyakan iklan, shuflle nya harus premium, ga bisa skip"
Pengguna Google,5,menurut ku si yaa bagus
Pengguna Google,3,"Kurangin iklannya lah, mau muter lagu 4 iklan harus di lewati, mana gabisa di skip"
Pengguna Google,5,Aplikasi nya bagus tapi jangan terlalu mahal buat beli premium nya kasian buat yang nd mampu
Pengguna Google,5,Musik nya sangat komplit dan asyik untuk di dengar
Pengguna Google,1,Gilak skrg bisa nian pakai untuk setel.lagu wajib premium
Pengguna Google,1,Too wasteful to cut network for other applications
Pengguna Google,4,Sangat bagus/cocok tapi tolong iklan nya dihilang kan kalo bisa
Pengguna Google,5,limit mulu bodoh
Pengguna Google,4,Keren
Pengguna Google,4,udaa baguss sii tapii kebanyakan premium padahal iklan lumayan
Pengguna Google,3,"Satu masalah yaitu saat mendengarkan musik sambil membuka aplikasi lain, musiknya tidak bisa di like tidak ada tombol like nya"
Pengguna Google,5,Good job! :)
Pengguna Google,1,Sekarang di batesin apa apa
Pengguna Google,3,Bagus agk ngelek
Pengguna Google,5,Mantul
Pengguna Google,1,Sudah sebulan saya tidak dapat masuk premium dan juga hapus akun
Pengguna Google,5,Bagus sekali....
Pengguna Google,5,mantap
Pengguna Google,1,dengerin suara aj Harus premium aduh iklan ny banyak lagi
Pengguna Google,5,Sangat cocok untuk musik harianku
Pengguna Google,3,kenapa ya pas pertengahan lagu selalu tiba tiba mati? ada pembaruan kah atau bagaimana bikin ga nyaman dengerin musik
Pengguna Google,2,Banyak iklan
Pengguna Google,5,Ok banget lahh🔥
Pengguna Google,5,"Spotifynya bagus tapi ga bisa denger lagu sepuasnya suka ada ""beli premium"" gitu tolong ya biar semuanya bisa ngedengerin lagu sepuasnya, dan tolong buat offline gitu, terimakasih"
Pengguna Google,5,"Bagus banget sara red lima karena asik, tapi keluhannya ada iklanya jadi rada rada gk seru"
Pengguna Google,4,Bagus
Pengguna Google,4,Bgus
Pengguna Google,3,"kenapa pas mencet lagu disuruh berbayar ke premium,dan tidak bisa mencet sesuka lagu"
Pengguna Google,3,kok spotify sekarang gaada fitur pemutaran ulang lagu. jadi saya hapus
Pengguna Google,1,"Lagunya lengkap sih tapi, beberapa lagu waktu mau di play ada tulisan ""pilih lagu untuk diputar lagi besok + harus premium"" Tolong di up ya"
Pengguna Google,1,Makin kesini makin GK jls apa apa harus premium
Pengguna Google,5,Bagus
Pengguna Google,5,Bagus sekali
